line_id,stem_id,azimuth,polar,frame_num,dist_lidar,reflectivity,oldX,oldY,oldZ,old_relative_z,Count,X,Y,Z,relative_z
11,10001,3.007937,-13.0,127.0,5.144,10.0,-0.00962401,-0.03238058,0.00473386,0.066352,1,0.004230156366247684,0.015223584564713136,0.03994219241819034,0.10156033471381912
12,10001,2.742843,-7.0,88.0,5.404,17.0,-0.00228262,0.03843689,0.00593704,0.143764,1,0.0039673798746662214,0.02210876483877655,0.04148391369380988,0.17931087795295753
13,10001,2.698395,-7.0,80.0,5.572,20.0,-0.03515816,0.02039624,0.00606948,0.143897,1,0.009542692595949538,0.023729573123348065,0.037437000498971626,0.17526451749806732
14,10001,2.886513,-11.0,107.0,5.234,12.0,-0.03098965,-0.00337648,0.00673616,0.144563,1,0.00401034854866307,0.018433864188284195,0.03751202102686311,0.1753388656110599
15,10001,2.969794,-13.0,216.0,5.268,19.0,-0.01316309,0.01637698,0.0082652,0.146093,2,0.0030869098409311846,0.02004885439237114,0.04381207391270436,0.18163986984291114
16,10001,2.039213,-7.0,534.0,4.812,9.0,0.01610708,0.05846596,0.00839144,0.146219,1,0.0039583204144781284,0.023837862782611338,0.042275736385509986,0.1801032966911054
17,10001,2.988469,-13.0,221.0,5.236,21.0,-0.00806094,0.0383792,0.00888681,0.146714,1,0.007876559990108944,0.02220732498972211,0.044511809275718406,0.18233900077757426
18,10001,3.003828,-13.0,223.0,5.196,17.0,0.00379467,0.00587321,0.01159835,0.149426,2,0.01022877844498139,0.019284062036998974,0.04756734060311271,0.1853949893843527
19,10001,2.986644,-13.0,125.0,5.176001,22.0,-0.01227379,0.01593876,0.01291674,0.150744,2,0.0039762092783348635,0.01961063545604702,0.048463613871717826,0.18629087987937964
20,10001,2.495705,-5.0,55.0,6.098001,16.0,0.00885105,-0.00911665,0.01341176,0.07503,1,0.00541105043143034,0.022883349493145938,0.04773175926506519,0.10934999795258045
21,10001,-3.089988,-13.0,243.0,5.208,3.0,-0.03103114,0.04916048,0.01432323,0.152151,1,0.0034603854262475267,0.023652008166378836,0.046950347626865924,0.1847781212053309
22,10001,2.747642,-7.0,89.0,5.386,15.0,-0.00370551,0.01379872,0.01454973,0.152377,2,0.0027285984017012656,0.027209572443493115,0.05051872139984323,0.1883459855448599
23,10001,3.120765,-13.0,233.0,5.088,31.0,0.01488733,0.00670767,0.01482099,0.152648,1,0.011449830155470408,0.0199107947119046,0.05036786399432458,0.18819487575092353
24,10001,-2.307064,-15.0,750.0,4.37,13.0,0.02035093,0.04550267,0.0149852,0.152813,1,0.007830604395973004,0.020218119509821015,0.049212841226196874,0.18704064367566167
25,10001,-2.299123,-15.0,764.0,4.356,18.0,0.04669904,0.02096796,0.01501757,0.233697,1,0.00550501252899864,0.02425154222092077,0.04427130046342291,0.2629507276326863
26,10001,2.450173,-5.0,51.0,6.302001,16.0,-0.07169533,-0.0026493,0.01537937,0.141977,1,-0.0059260966208500715,0.012863520013455015,0.03255885679465838,0.15915648386073417
27,10001,-2.851606,-15.0,274.0,5.608,17.0,-0.02996827,-0.01442098,0.01538855,0.077007,1,0.0051150633487850455,0.016495686117559673,0.03897188274810712,0.10059033563981454
28,10001,3.017013,-13.0,163.0,5.222001,21.0,0.00440359,0.01138068,0.01799089,0.155818,2,0.011629867394638322,0.02393542398719022,0.04762592642520466,0.18545303597067395
29,10001,3.010635,-13.0,166.0,5.22,10.0,-0.00056029,0.03000784,0.01806515,0.155892,1,0.0062307545771030015,0.023589928731767098,0.04642335884273052,0.18425020761787891
30,10001,3.004272,-13.0,168.0,5.218,19.0,0.0221796,0.02638102,0.01849252,0.15632,1,0.009860759493017542,0.01956942529026149,0.0486374464749858,0.18646493227477523
31,10001,3.036597,-11.0,143.0,5.152,12.0,0.00192737,0.01096154,0.01976693,0.157594,2,0.009153647142645977,0.023516284125129672,0.04940196602557698,0.18722903086756268
32,10001,-3.016889,-15.0,253.0,5.29,16.0,-0.00716162,-0.015697,0.02027279,0.081891,1,0.008954081999923078,0.024302998357567905,0.04473559861648674,0.10635380936432476
33,10001,-2.714162,-15.0,309.0,6.362,24.0,-0.04187537,0.0100565,0.02104133,0.158869,1,0.002422149793421924,0.023196995697053503,0.0447603374380957,0.18258800577710976
34,10001,2.066877,-5.0,518.0,5.414001,7.0,0.02276182,0.0461855,0.02152002,0.159347,1,0.010564850417501999,0.020579442579412098,0.04985335288625775,0.18768033018392144
35,10001,2.066005,-5.0,506.0,5.882,10.0,0.01572752,0.00711298,0.0223577,0.160185,1,0.003497304381440868,0.019846792393129507,0.05286129656509101,0.19068859051243006
36,10001,3.140138,-13.0,236.0,5.092,10.0,-0.0123396,0.00874281,0.02335745,0.161185,1,0.004401139963280273,0.021557624589789798,0.05209818886661971,0.18992573613369906
37,10001,2.22512,-15.0,573.0,3.328,1.0,0.05804491,-0.02179956,0.02539778,0.094578,1,0.009326962770050407,0.018114968258728326,0.042748206191592746,0.1119284246944719
38,10001,2.992484,-13.0,178.0,5.24,7.0,0.00870323,-0.00281429,0.02593094,0.163758,1,0.006648435423227206,0.019514476357359593,0.049766554892675514,0.18759361042143546
39,10001,-2.770885,-15.0,293.0,5.976,20.0,0.0143547,0.0166831,0.02889079,0.166718,2,0.012313883891012394,0.01926813359518035,0.053176503907255576,0.19100371962349838
40,10001,-2.301391,-15.0,757.0,4.362,13.0,0.03745508,0.05035734,0.03083998,0.168667,1,0.006519827067101601,0.02496166058259902,0.05335796451557883,0.19118498837937126
41,10001,2.305122,-1.0,34.0,6.818,15.0,-0.0054102,-0.02318144,0.03085327,0.092472,1,0.011280976071515503,0.01740679388646694,0.052103268859141016,0.11372200114762082
42,10001,3.004003,-13.0,169.0,5.234001,3.0,-0.00553656,-0.00132703,0.03127473,0.169102,1,0.01173616687838848,0.020840801504583888,0.05379221021764345,0.19161947995059558
43,10001,2.16503,-13.0,566.0,3.494,23.0,0.01361084,0.03157664,0.03158486,0.169412,1,0.011624538467252908,0.02486431213376457,0.05542047454477989,0.19324761761786186
44,10001,3.026561,-11.0,139.0,5.128,6.0,0.00461912,0.01003313,0.03180849,0.169636,1,0.012343257861533043,0.022308991354858053,0.055187801361597816,0.19301530578783874
45,10001,2.997727,-13.0,172.0,5.226,17.0,-0.00650216,0.01830769,0.03189611,0.169723,1,0.0107392190152715,0.02072148247268693,0.055344385692271694,0.19317127917090365
46,10001,3.014395,-13.0,197.0,5.228,21.0,0.01154279,0.0223198,0.03204906,0.169876,2,0.009501973306443416,0.024904833092880087,0.05633477335732405,0.19416170781414932
47,10001,3.027856,-11.0,137.0,5.106,22.0,0.0030384,0.04000855,0.03307444,0.170902,1,0.010846619038166453,0.024049644753949283,0.05704704054618535,0.19487460085178074
48,10001,3.035637,-11.0,141.0,5.132,20.0,0.00513935,-0.00472402,0.0350647,0.172892,1,0.0036554789771476096,0.017211463098083774,0.05325824863487674,0.19108555189544155
49,10001,-2.304009,-15.0,758.0,4.36,12.0,0.04290151,0.0533042,0.03561312,0.254293,1,0.012833481933288024,0.02847426942213863,0.052960057698545004,0.27163993283396676
50,10001,2.50286,-5.0,56.0,6.072001,22.0,0.00048255,0.02180624,0.03572333,0.173551,2,0.008953887350103894,0.02473617617966263,0.05470421955369081,0.19253188416741457
51,10001,-2.797414,-15.0,287.0,5.83,13.0,-0.01818419,0.04076243,0.03604567,0.173873,1,0.00852813750301322,0.025351469481542502,0.05166210824853345,0.18948944503671095
52,10001,-2.938087,-15.0,257.0,5.284,16.0,0.01810979,0.03870535,0.03727269,0.1751,1,0.007070828289664412,0.022276777762000436,0.055584379314602195,0.1934116863004573
53,10001,2.091312,-11.0,558.0,3.822,18.0,0.00609588,0.03505946,0.03798318,0.175811,1,0.004472503541400294,0.018890628554894554,0.05577538619664582,0.19360319982198151
54,10001,2.119819,-13.0,561.0,3.668,2.0,-0.01352597,0.08185816,0.03925776,0.177085,1,0.003915889766211655,0.03023025211553241,0.05173838072160418,0.18956561692694363
55,10001,2.031737,-7.0,542.0,4.46,13.0,0.0197072,0.04945612,0.041547,0.179374,1,0.008846272239523218,0.02389320791606477,0.05876554277361624,0.19659253683508626
56,10001,2.079546,-11.0,557.0,3.872,28.0,0.04001903,0.04302359,0.04178643,0.260466,2,0.009549233599897199,0.0275873485827606,0.05896763591058302,0.2776472167480712
57,10001,-2.297726,-15.0,765.0,4.37,22.0,0.03802061,0.04125643,0.04249608,0.180323,2,0.0075508127951582,0.02582019007445982,0.059677288811278824,0.19750421209223318
58,10001,2.995632,-13.0,190.0,5.23,5.0,0.02514839,0.0135932,0.04252964,0.180357,1,0.00443410457341702,0.026125666757972985,0.060971196547344134,0.1987985519619731
59,10001,2.214648,-15.0,572.0,3.284,1.0,-0.00867701,0.0491786,0.04261029,0.180438,1,0.008839767657520387,0.02333967642696112,0.05885190151681836,0.1966796071087354
60,10001,2.336378,-1.0,41.0,6.574,17.0,-0.01752425,-0.01468944,0.04264092,0.10426,1,0.009372301232712023,0.01627607647458027,0.05719264421997399,0.11881172109780641
61,10001,2.555343,-5.0,62.0,5.936,18.0,0.01118659,0.03196049,0.04321426,0.181042,1,0.009712231429054951,0.025165619304737985,0.06173990182100962,0.19956764094053936
62,10001,3.002352,-13.0,192.0,5.228,21.0,0.02877712,0.03683472,0.04327977,0.181107,1,0.007916193911867424,0.021271806814713985,0.06049831312717192,0.19832554188193074
63,10001,3.013252,-13.0,205.0,5.248,3.0,0.00206756,0.01557017,0.04414236,0.18197,2,0.010538897440015415,0.018500106343940184,0.06312325269363489,0.20095089123032656
64,10001,2.149321,-13.0,565.0,3.554,3.0,0.0388956,0.00707913,0.044801,0.182628,1,0.008171915983487116,0.01971070855659874,0.06230099979591997,0.2001280050332609
65,10001,-2.302613,-15.0,755.0,4.348,16.0,0.009305,0.01525402,0.04585546,0.183683,2,0.007606887088725402,0.01789552899393833,0.055855460090082396,0.19368299431864572
66,10001,2.996156,-13.0,189.0,5.238,15.0,0.00616025,0.03094149,0.04594427,0.183772,2,0.004451389165147196,0.02359971795466882,0.05537465080335925,0.19320237874701807
67,10001,2.995196,-13.0,175.0,5.236,10.0,0.00073957,0.01002121,0.04690265,0.18473,1,0.00903070901662017,0.02267943714049798,0.05633303016141246,0.19416037440017053
68,10001,2.991966,-13.0,208.0,5.252,17.0,0.00353479,0.03604794,0.04736847,0.185196,1,0.01200612723845158,0.0189778757560405,0.056349363628846065,0.19417689040682878
69,10001,-2.822721,-15.0,278.0,5.684,12.0,-0.02542687,0.02624798,0.04894668,0.186774,1,0.011612602607592157,0.019669032704673316,0.05723615366916515,0.19506347555618145
70,10001,-3.131782,-13.0,237.0,5.094001,3.0,-0.00439263,0.00055838,0.04925221,0.18708,2,0.00389850905306543,0.023216607179522186,0.05868258937910388,0.19651037692740747
71,10001,3.110126,-13.0,232.0,5.102,21.0,-0.0130868,-0.03275156,0.05044734,0.112066,1,0.003976136178976589,0.01689878814703935,0.05604174807407222,0.11766040771939121
72,10001,-2.793138,-15.0,291.0,5.902,24.0,0.00203609,-0.00142193,0.051211,0.189038,2,0.010327229016943823,0.021236297164607464,0.06064138054564784,0.19846837460711786
73,10001,2.066877,-5.0,505.0,5.9,16.0,0.00577306,0.03420592,0.05170923,0.189537,2,0.004064199255331408,0.02686414886501771,0.06113961204603503,0.19896738469317743
74,10001,-2.753868,-15.0,299.0,6.146,13.0,-0.01036931,0.02474118,0.0519883,0.189816,1,0.00792182862900103,0.027399407888326465,0.06141868099287341,0.19924637913420984
75,10001,2.993276,-13.0,174.0,5.214,15.0,0.01597213,0.01031018,0.05314082,0.190968,1,0.004263269455655467,0.022968406977627098,0.06257120012954066,0.2003983879061062
76,10001,2.988992,-13.0,187.0,5.218,3.0,0.04318523,0.0512476,0.05407631,0.272756,1,0.013319459175003455,0.026818072510845708,0.06239845931229975,0.2810781593590775
77,10001,2.99196,-13.0,177.0,5.234,21.0,0.00967025,0.02432061,0.05429262,0.19212,2,0.007972136901328399,0.02696211910191572,0.06429262049261879,0.20212000198427987
78,10001,-2.8448,-15.0,275.0,5.6,8.0,0.00681161,0.00424433,0.05458647,0.192414,1,0.005219253257605111,0.026601017117618943,0.06363105743079428,0.2014585879340673
79,10001,3.023507,-11.0,138.0,5.124,6.0,0.00770473,0.0351615,0.05596375,0.193791,2,0.006099791863910209,0.01787754856509927,0.05763041708664394,0.19545766819314456
80,10001,3.038749,-11.0,145.0,5.144,22.0,0.01963233,0.02462721,0.05598253,0.19381,1,0.00951184842915061,0.027217571814376187,0.06056084272911749,0.19838831362774573
81,10001,2.034065,-7.0,543.0,4.404,9.0,0.02796983,0.06873131,0.05711847,0.194946,1,0.009298501458097172,0.02628375445264619,0.057887702164324845,0.19571523639288815
82,10001,2.265088,-15.0,576.0,3.128,1.0,0.01005125,0.04307747,0.0571329,0.19496,2,0.00844631217604066,0.02579351850313905,0.058799565919203524,0.1966266642888019
83,10001,2.001478,-9.0,538.0,4.646,5.0,0.00735759,0.0326376,0.05824095,0.196068,1,0.006199053284235118,0.025198575495401533,0.060984851951461014,0.19881190561757583
84,10001,-2.306889,-15.0,759.0,4.37,1.0,0.01619243,0.03660107,0.05861902,0.196446,2,0.006068207219428157,0.02020355500280857,0.06153827276289092,0.19936525564849006
85,10001,2.271807,-15.0,576.0,3.122,5.0,0.02084255,0.06106282,0.05986005,0.197687,1,0.010393832583362475,0.026062820882846907,0.06236005020447266,0.2001869995624591
86,10001,2.004882,-9.0,539.0,4.6,24.0,0.04207181,0.02565575,0.06158745,0.280267,1,0.012133540884580143,0.01911254030548864,0.06504423870348636,0.28372378973865214
87,10001,2.069619,-5.0,516.0,5.468,18.0,0.03258943,0.0452652,0.06161463,0.199442,1,0.012462849988118758,0.019822165782598756,0.06490576757660395,0.2027331378923941
88,10001,2.101536,-11.0,559.0,3.786,18.0,-0.02457953,0.04918909,0.06161713,0.199444,1,0.0031477414773075606,0.02373454756067171,0.062006738556960185,0.19983360595856006
89,10001,3.022154,-13.0,225.0,5.154,5.0,0.01980781,-0.01478672,0.0623073,0.123926,1,0.009259029655013143,0.01582303497849441,0.06639266334383226,0.12801136396734453
90,10001,-2.329629,-13.0,741.0,4.282001,15.0,0.02292108,0.00445462,0.06276947,0.200597,1,0.012082756602924741,0.026131266270747442,0.06708084912357216,0.20490837962684516
91,10001,2.986295,-13.0,181.0,5.222001,15.0,0.02943658,0.02309895,0.06305218,0.20088,1,0.009436581250145494,0.025448346734944595,0.06757024904511061,0.2053980775716075
92,10001,-2.304707,-15.0,752.0,4.366,15.0,0.02372217,0.04130316,0.06305975,0.200887,2,0.013597946509904002,0.024905646219849586,0.06597900133788215,0.20380624871909248
93,10001,2.231927,-15.0,573.0,3.24,2.0,0.02157354,0.05098105,0.06518513,0.203012,1,0.011694752131447647,0.025162868958079454,0.0623366424983198,0.20016351735050028
94,10001,-3.127157,-13.0,238.0,5.11,19.0,-0.01190854,0.03255892,0.06686127,0.204689,1,0.006543840924721388,0.025416064597222777,0.06293269816697353,0.20076042238534206
95,10001,2.988389,-13.0,182.0,5.24,10.0,0.0317111,0.03335762,0.06739682,0.205224,1,0.012181690170922702,0.026239973186131787,0.06604387602385353,0.20387106380041908
96,10001,2.252783,-15.0,574.0,3.206,9.0,0.00987148,0.0392828,0.06753057,0.205358,2,0.009811239058982176,0.023198461620114654,0.06506069058395293,0.20288811677909757
97,10001,-3.076899,-13.0,247.0,5.204,15.0,0.02482271,0.00662613,0.06884968,0.206677,1,0.01488018153642101,0.01840773886390801,0.06770025510555026,0.20552757699256657
98,10001,2.756456,-7.0,90.0,5.372001,14.0,0.0003252,0.01715231,0.06937867,0.207206,1,0.009573754655147466,0.01900202021907175,0.06706652546979788,0.20489385480739478
99,10001,2.024641,-5.0,528.0,5.02,7.0,0.01523256,0.03901053,0.07026994,0.208097,1,0.0051723194521773284,0.022926191328070968,0.06780006045318511,0.2056271141192999
100,10001,2.558936,-5.0,63.0,5.916,18.0,-0.01325894,0.00971508,0.07027286,0.2081,1,0.005629948814187134,0.020767711451527667,0.06781672017528997,0.20564386324837194
101,10001,3.130546,-13.0,234.0,5.086,7.0,0.01164674,0.01436949,0.0706898,0.208517,1,0.010899613664924413,0.025863742102579825,0.0688507145206476,0.20667791719837436
102,10001,-3.122358,-13.0,239.0,5.114001,21.0,0.01060104,0.03518772,0.07085669,0.208684,2,0.010540798979710383,0.019103384105466217,0.06838680857635406,0.20621411556220914
103,10001,-2.74645,-15.0,301.0,6.172,6.0,0.00380659,0.04536486,0.0717693,0.209597,1,0.012776286826666558,0.019546680908763048,0.06873899182361183,0.20656670114081915
104,10001,2.997203,-13.0,171.0,5.222001,15.0,-0.00099755,0.01039648,0.0744819,0.212309,1,0.008255323332241982,0.021890732106463664,0.07264281417532213,0.21046991999550113
105,10001,2.988477,-13.0,184.0,5.240001,21.0,-0.00654221,0.01079941,0.07508015,0.212907,1,0.012957789510902429,0.021632742767946588,0.06852459313554896,0.20635144563598765
106,10001,2.180825,-13.0,568.0,3.398,23.0,0.00140953,0.03259993,0.07575673,0.213584,1,0.0116888593951261,0.025225628052926597,0.06944387928483872,0.20727115646837144
107,10001,-2.795843,-15.0,286.0,5.81,18.0,0.00137805,0.03945065,0.07638115,0.214208,1,0.012276926087058578,0.0231023347528463,0.07059462996346227,0.20842148991448156
108,10001,3.032059,-11.0,140.0,5.138,24.0,-0.01443148,-0.00266981,0.07712394,0.214951,1,0.005009859977238004,0.01788884852804743,0.06907924703795816,0.20690630070407295
109,10001,-2.884331,-15.0,262.0,5.346,6.0,0.00639295,0.06228066,0.07799715,0.215824,1,0.007302041046998718,0.028159447082064373,0.06999714789968549,0.20782399294954357
110,10001,-2.880841,-15.0,263.0,5.348,16.0,-0.00866795,0.04078627,0.07875758,0.216585,1,0.010279418355975931,0.024295042198129564,0.0692838922644045,0.20711131100896857
111,10001,2.33472,-1.0,40.0,6.612001,23.0,-0.02348185,-0.01432609,0.07901913,0.140638,1,0.005157202989215681,0.0156147376187807,0.07126764970770955,0.13288651424399495
112,10001,-2.79881,-15.0,290.0,5.89,18.0,-0.0198536,-0.00117349,0.08466685,0.222494,1,0.008939503392354511,0.019343750810935752,0.0767932847334907,0.21462044270773387
113,10001,2.074498,-9.0,553.0,4.002001,13.0,0.04894638,0.03313589,0.08477801,0.303457,1,0.012567072903373458,0.02664163806101029,0.08213433243291474,0.30081331349866486
114,10001,2.189378,-13.0,569.0,3.386,7.0,-1.05e-05,0.04222918,0.0864234,0.224251,1,0.011568447080284578,0.025597600550635865,0.07779181984890449,0.21561942485798347
115,10001,2.565067,-5.0,64.0,5.882,14.0,-0.03469277,-0.01481437,0.09021503,0.151834,1,0.0028998199850320816,0.013395505508890859,0.07700515253308379,0.13862412137749755
116,10001,2.274513,-15.0,577.0,3.088,28.0,0.02123594,0.05920887,0.09066331,0.228491,1,0.014357326509204902,0.02579846587355082,0.08378469535940988,0.22161238232487543
117,10001,2.038465,-5.0,522.0,5.246001,20.0,0.04409837,0.03891993,0.09273141,0.311411,1,0.018692964899378856,0.02237938908306328,0.08965032925275532,0.30832991381553376
118,10001,-2.327535,-13.0,743.0,4.296,18.0,0.00180053,0.01543999,0.0943861,0.232213,1,0.014123762027605088,0.01680362614041025,0.08958812261169607,0.22741502726619894
119,10001,2.260463,-15.0,575.0,3.176,1.0,-0.00158597,0.04245663,0.09589994,0.233727,2,0.011588632790051479,0.024731763121154573,0.08891581605981898,0.22674286972593377
120,10001,2.085494,-9.0,551.0,4.066,9.0,-0.00042439,0.04018116,0.0959441,0.233771,2,0.012750212851358656,0.022456292476918962,0.08895997565101695,0.2267868728549392
121,10001,2.00438,-9.0,537.0,4.672,3.0,0.0192461,0.03277397,0.0976842,0.235512,1,0.015137188680617527,0.02312050627931805,0.09644657680488164,0.23427438297963674
122,10001,2.82571,-9.0,97.0,5.24,25.0,0.03043556,-0.00521373,0.0979191,0.235746,1,0.016817470085830545,0.022625465189392242,0.10138643910200452,0.23921333630592678
123,10001,2.884404,-11.0,111.0,5.202,20.0,0.01777935,0.03559876,0.09810948,0.235937,1,0.01303445238011832,0.016874269078656728,0.09576254846452147,0.2335900640666333
124,10001,2.081022,-9.0,550.0,4.144,29.0,0.00216102,0.00536681,0.09884697,0.236674,1,0.016200428463867295,0.014578632448382419,0.09633466022391918,0.2341616840877116
125,10001,-2.319157,-13.0,739.0,4.276,18.0,0.00716352,0.02297354,0.09908146,0.236909,1,0.011918421779923579,0.022581382307643984,0.0970226366383334,0.23485018204276759
126,10001,2.114001,-11.0,560.0,3.722,9.0,-0.01264191,0.04998398,0.09945214,0.237279,1,0.009773819351547891,0.02380420526050115,0.08894652358434174,0.22677338353536103
127,10001,3.040232,-11.0,134.0,5.086,40.0,-0.0034566,0.00062514,0.10077643,0.238604,1,0.010800825376616845,0.019189495857837288,0.09849920227090911,0.2363267700270851
128,10001,3.099814,-13.0,231.0,5.092,21.0,0.03156137,0.01750183,0.10206038,0.239888,1,0.017639802586214216,0.017060652585225364,0.10250155751903851,0.24032917742927867
129,10001,3.080797,-13.0,229.0,5.098,12.0,0.01727676,-0.0431242,0.10316694,0.164786,1,0.010810093631347021,0.008742466531693936,0.10350027449429035,0.16511933274567125
130,10001,-2.29769,-13.0,770.0,4.298,13.0,0.02391052,0.01545716,0.10556066,0.243388,2,0.021350134137100067,0.01439435779598456,0.10657515057367115,0.24440248736184864
131,10001,-2.314008,-13.0,738.0,4.254,18.0,0.03820753,0.0019207,0.10924113,0.247068,1,0.01648339349317727,0.01995025607562289,0.11264014011937115,0.25046701497155166
132,10001,2.037294,-7.0,546.0,4.28,22.0,0.01361942,0.02539254,0.10934406,0.247171,1,0.0203999077265219,0.01500229598363725,0.1103684454247719,0.24819538733217775
133,10001,2.19417,-13.0,570.0,3.332,19.0,-0.0052104,0.03819037,0.10995531,0.247783,1,0.01891658346479138,0.01946021009374548,0.10339446207163511,0.24122215648768125
134,10001,-2.298388,-13.0,771.0,4.294,18.0,0.01985359,0.0175438,0.11182284,0.24965,2,0.01729320359510788,0.01648099813160401,0.11283733376306324,0.2506644917373064
135,10001,2.066005,-5.0,515.0,5.51,3.0,0.03728818,0.03043175,0.11183154,0.249659,1,0.01568014172827778,0.020431749382285615,0.11374108354799711,0.25156854699604475
136,10001,-2.321252,-13.0,745.0,4.306,18.0,0.04761028,0.03598976,0.11209869,0.330778,1,0.01679947087289514,0.0170167886526198,0.11366625155347425,0.33234556789535125
137,10001,-2.32379,-13.0,744.0,4.276,6.0,0.02349329,-0.00769376,0.11392563,0.251753,1,0.020622002836870084,0.020029011440675447,0.11516324965523021,0.2529906236963107
138,10001,2.312903,-1.0,480.0,6.702,12.0,0.04155397,0.01289225,0.11492252,0.333602,1,0.01964220617368233,0.021029504563878563,0.11796173656943675,0.33664122427466747
139,10001,3.090403,-13.0,230.0,5.104,19.0,0.0319314,0.01830483,0.11545712,0.253284,1,0.02054384070043073,0.01701296427460949,0.11789730807953475,0.2557241978328764
140,10001,2.889101,-11.0,110.0,5.212,18.0,-0.01160384,0.06861496,0.11571079,0.253538,1,0.013429272290787948,0.02543615068722245,0.10597568786154125,0.2438029128910098
141,10001,2.738865,-5.0,85.0,5.426,5.0,0.01223039,0.05532265,0.11674464,0.254572,1,0.01934150065191918,0.0186559848073456,0.11168908157075445,0.24951644816125435
142,10001,2.0151,-7.0,540.0,4.522001,27.0,0.01432085,0.02871323,0.11726224,0.25509,2,0.021942209380054936,0.018276336928377452,0.11687388649951776,0.25470164797078926
143,10001,3.038342,-11.0,147.0,5.136,20.0,0.03947591,0.0274849,0.12011218,0.25794,1,0.019032561022953448,0.01635189457186337,0.12425011086273076,0.26207792448806644
144,10001,-2.798112,-15.0,289.0,5.854,20.0,-0.00826455,-0.0107789,0.12065571,0.182274,2,0.017086800726482998,0.015545423399354961,0.12000705872637195,0.1816253495679514
145,10001,-3.069917,-13.0,248.0,5.2,15.0,-0.00537444,-0.00928068,0.12088024,0.182499,2,0.01997691074235214,0.01704364388778403,0.12023158942324084,0.1818503571019785
146,10001,2.550457,-5.0,61.0,5.952,18.0,-0.01984406,0.05554247,0.12163937,0.259467,1,0.01423488580621779,0.021200364357546755,0.1120998969081005,0.24992753171950188
147,10001,-2.887996,-15.0,261.0,5.318,20.0,0.00973415,0.02788639,0.12256378,0.260391,2,0.01735550903000878,0.017449497570762935,0.12217542907964547,0.2600026466585334
148,10001,-2.741003,-13.0,296.0,6.018,15.0,0.00683784,0.00857401,0.12404305,0.26187,1,0.014589036155367299,0.016707980849347902,0.12562199395916393,0.2634489433171504
149,10001,2.080628,-9.0,552.0,4.05,17.0,0.02644586,0.03262616,0.12640774,0.264235,2,0.016876482222068823,0.021429987356922274,0.12951779155212156,0.2673450389333319
150,10001,3.036058,-11.0,148.0,5.156,24.0,0.03811645,0.02773476,0.1267739,0.264601,1,0.019169083292903514,0.016012272285074708,0.13069734002271907,0.26852443839231743
151,10001,2.026509,-5.0,532.0,4.864,15.0,0.02122497,0.04695416,0.12726998,0.265097,1,0.020279696340955312,0.017401922262500768,0.12627495958733914,0.26410196854997037
152,10001,-2.895676,-15.0,260.0,5.316,16.0,-0.01788283,-0.01556921,0.12738228,0.189001,1,0.017326750463532832,0.018442765168265665,0.13103497412033424,0.1926536896450077
153,10001,3.036407,-11.0,132.0,5.076,20.0,0.00434064,-0.01563072,0.12868524,0.190304,1,0.02262940939844531,0.018647353837196838,0.13317721576136063,0.19479597598951767
154,10001,2.890876,-11.0,114.0,5.202,22.0,0.02140474,-0.0092473,0.12881857,0.190437,1,0.02145424434491018,0.015703194184542295,0.13673936479752608,0.19835779720013685
